i,data.theta_m1,data.theta_l1,data.delta_theta_r1,data.Trr_ad,data.theta_m2,data.theta_l2,data.delta_theta_r2,data.Trr_cf
0,1.814062476158142,0.0,1.814062476158142,0.006000000052154064,0.0,0.035999998450279236,-0.035999998450279236,0.0
1,4.258124828338623,0.28802490234375,3.970099925994873,0.006000000052154064,0.0,0.035999998450279236,-0.035999998450279236,0.0
2,5.135624885559082,0.68402099609375,4.451603889465332,0.006000000052154064,0.0,0.035999998450279236,-0.035999998450279236,0.0
3,7.810312271118164,1.79998779296875,6.010324478149414,0.029999997466802597,0.0,0.0,0.0,0.0
4,10.978593826293945,3.56396484375,7.414628982543945,0.05999999865889549,0.0,0.035999998450279236,-0.035999998450279236,0.0
5,14.5546875,5.00396728515625,9.55072021484375,0.14100000262260437,0.0,0.035999998450279236,-0.035999998450279236,0.0
6,14.502655982971191,5.18402099609375,9.318634986877441,0.1679999977350235,-0.0014062500558793545,0.035999998450279236,-0.03740624710917473,0.0
7,16.173280715942383,6.0479736328125,10.125307083129883,0.18299999833106995,-0.0014062500558793545,0.035999998450279236,-0.03740624710917473,0.0
8,21.1668758392334,7.7760009765625,13.390874862670898,0.18299999833106995,-0.0014062500558793545,0.035999998450279236,-0.03740624710917473,0.0
9,24.284530639648438,8.78399658203125,15.500534057617188,0.20399999618530273,-0.0014062500558793545,0.035999998450279236,-0.03740624710917473,0.0
10,26.561250686645508,9.7919921875,16.769258499145508,0.35099998116493225,-0.0014062500558793545,0.035999998450279236,-0.03740624710917473,0.0
11,28.241718292236328,11.3759765625,16.865741729736328,0.40199998021125793,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
12,29.660625457763672,11.8800048828125,17.780620574951172,0.4350000023841858,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
13,29.951719284057617,12.02398681640625,17.927732467651367,0.47699999809265137,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
14,29.057344436645508,12.05999755859375,16.997346878051758,0.5040000081062317,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
15,-4.120312690734863,12.02398681640625,-16.144298553466797,0.5189999938011169,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
16,25.94109344482422,11.77197265625,14.169120788574219,0.5160000324249268,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
17,24.439218521118164,11.3759765625,13.063241958618164,0.5040000081062317,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
18,22.698280334472656,10.6920166015625,12.006263732910156,0.4829999804496765,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
19,19.184062957763672,9.93597412109375,9.248088836669922,0.40799999237060547,-0.0014062500558793545,0.035999998450279236,-0.03740624710917473,0.0
20,21.076875686645508,9.93597412109375,11.140901565551758,0.36299997568130493,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
21,20.503124237060547,9.93597412109375,10.567150115966797,0.32999998331069946,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
22,17.551406860351562,8.6400146484375,8.911392211914062,0.3240000009536743,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
23,16.364530563354492,8.02801513671875,8.336515426635742,0.2939999997615814,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
24,15.077812194824219,7.63201904296875,7.445793151855469,0.2460000067949295,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
25,14.969531059265137,7.27197265625,7.697558403015137,0.2460000067949295,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
26,14.954062461853027,7.27197265625,7.682089805603027,0.21000000834465027,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
27,16.25765609741211,7.27197265625,8.98568344116211,0.18000000715255737,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
28,16.564218521118164,7.3079833984375,9.256235122680664,0.18000000715255737,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
29,16.873594284057617,7.45196533203125,9.421628952026367,0.18000000715255737,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
30,18.189844131469727,7.739990234375,10.449853897094727,0.18299999833106995,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
31,20.1473445892334,8.06396484375,12.083379745483398,0.20100000500679016,-0.0014062500558793545,0.0,-0.0014062500558793545,0.0
32,22.903593063354492,9.21600341796875,13.687589645385742,0.2280000001192093,-0.0014062500558793545,0.035999998450279236,-0.03740624710917473,0.0
